Name (NA),Frequency (MHz) (NA),Port (Mandatory) 1p11/2p11/2p12/2p22,Number (NA),Width (NB) (Mandatory),Address Width (NB) (Mandatory),Depth (NW) (Mandatory),Total (KB) (NA),SW (Bit Write) (Mandatory),Column Mux (Optional),Bank (Optional),Center Decoder (Optional),Redundancy (Mandatory),BIST Interface (Mandatory),Dual Rail (Mandatory),Power Gating (Mandatory),periphery_Vt (Optional),read_assist (Mandatory),write_assist (Mandatory),pvt_enable
u_core0_w0_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core0_w1_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core1_w0_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core1_w1_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core2_w0_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core2_w1_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core3_w0_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_core3_w1_shw_tram_bus,,1p11,,22,8,256,,22,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w0_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w1_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w2_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w3_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w4_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w5_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w6_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w7_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w8_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w9_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w10_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w11_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w12_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w13_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w14_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w15_b0_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_aram,,1p11,,15,8,256,,15,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w0_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w1_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w2_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w3_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w4_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w5_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w6_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w7_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w8_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w9_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w10_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w11_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w12_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w13_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w14_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_w15_b1_tram,,1p11,,20,8,256,,20,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_aram,,1p11,,15,8,256,,15,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck0_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck1_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck2_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck3_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck4_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck5_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck6_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b0_ck7_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck0_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck1_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck2_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck3_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck4_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck5_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck6_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
u_l2c_b1_ck7_dram,,1p11,,64,12,4096,,8,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,
